regex,term
^fap,fap
pdgf.*,pdgf
^smad.*,smad
^brca.*,brca
^wnt.*,wnt
^tgf.*,tgf
^braf.*,raf
^erk.*,erk
^[kn]ras.*,ras
^yap1,yap
^igf.*,igf
^mmp[^i],mmp
rsf.1,rsf1
pd.1,pd1
"il.{0,2}\d+",interleukin
parp-,parp
rhoa,rho
tp53,p53
fak,fak
cbe,cbe
nf.b,nfkb
catenin,catenin
